number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
56,0.7872749303071199,2025-06-15 14:02:51.513249,2025-06-15 14:03:17.163020,0 days 00:00:25.649771,0.9381193188147094,1.1454508847331695,0.01604552724768145,8,9,3,190,0.5283493876546569,0.12680535896068673,4.004001873514824,0.9727466214703016,COMPLETE
57,0.7902084243699428,2025-06-15 14:02:57.722604,2025-06-15 14:03:24.346894,0 days 00:00:26.624290,0.8685102650966766,1.0234588599488055,0.016218784659328394,8,9,3,217,0.5568972014195653,0.7870373082150228,3.59493705742457,0.9700829144067044,COMPLETE
58,0.792719822798319,2025-06-15 14:03:08.668748,2025-06-15 14:03:36.320276,0 days 00:00:27.651528,0.9391480107995805,1.0194893428688379,0.016590789371648568,8,9,3,239,0.3270278990357428,0.18514155846175706,4.292096171428481,0.9746611806532615,COMPLETE
59,0.7908596449465615,2025-06-15 14:03:10.912003,2025-06-15 14:03:39.715365,0 days 00:00:28.803362,0.9388878579835306,0.28652046698825295,0.015601259038921657,8,9,3,241,0.17438215472568908,0.16866298425525933,4.50960851956369,0.9715265860250424,COMPLETE
60,0.8027197733914774,2025-06-15 14:03:13.853346,2025-06-15 14:03:38.443940,0 days 00:00:24.590594,0.9358258346020505,0.2771811320164591,0.04335192101503536,8,9,3,217,0.5557006883670972,0.18125630526187234,4.535399166154381,0.9768174167879955,COMPLETE
61,0.8061850931720732,2025-06-15 14:03:16.013690,2025-06-15 14:03:45.929671,0 days 00:00:29.915981,0.9383367879655333,0.3157806324386505,0.04265929143243507,1,9,3,243,0.18039563821196047,0.17379848671335155,4.10575085244831,0.8788390357417055,COMPLETE
62,0.8077849794398265,2025-06-15 14:03:16.028736,2025-06-15 14:03:45.207426,0 days 00:00:29.178690,0.9375696543129842,0.2931773413548424,0.04567764415699477,0,9,3,241,0.1742504585827661,0.18462443315065252,4.201711508740283,0.88457327649856,COMPLETE
63,0.8025322729801845,2025-06-15 14:03:17.166337,2025-06-15 14:03:35.482709,0 days 00:00:18.316372,0.9394218078215807,0.7950933214253841,0.06903263810637246,0,9,3,239,0.17988654188326222,0.18823852833910276,5.4727354975507705,0.8724210248835622,COMPLETE
64,0.8066803673151469,2025-06-15 14:03:19.782805,2025-06-15 14:03:49.372657,0 days 00:00:29.589852,0.8811700187786913,0.29270872081712024,0.04818541580191144,0,9,3,240,0.32654771561806406,0.19921426531889003,5.66097869671222,0.8217176278192134,COMPLETE
65,0.8081033344835081,2025-06-15 14:03:24.350905,2025-06-15 14:03:53.708274,0 days 00:00:29.357369,0.8852219753639713,0.3142561202518465,0.04629055338363551,0,9,3,239,0.3277661898084909,0.18722123879364355,5.425199911268964,0.8760825458746063,COMPLETE
66,0.8061615790630586,2025-06-15 14:03:35.486717,2025-06-15 14:03:58.327621,0 days 00:00:22.840904,0.8289130883209854,0.7673776104920793,0.07087928179173543,0,9,3,239,0.16285898417374017,0.4271935969847571,5.6287930963231245,0.884225339484517,COMPLETE
67,0.807292588255949,2025-06-15 14:03:36.325799,2025-06-15 14:03:54.512131,0 days 00:00:18.186332,0.8454964188690478,0.8046359671461728,0.07746954593761984,0,9,1,239,0.16227950011532508,0.008741935054213668,2.549443494811619,0.8773967090530221,COMPLETE
