number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
49,0.9105234968741833,2025-06-15 11:07:34.912669,2025-06-15 11:08:07.651508,0 days 00:00:32.738839,0.7619158109015088,0.2634174992394582,0.04097453418891023,9,10,3,255,0.7132150866950359,0.9828933446935445,17.09627635502636,0.9273005691231065,COMPLETE
50,0.9193132885271252,2025-06-15 11:07:35.882087,2025-06-15 11:08:07.997214,0 days 00:00:32.115127,0.7882295856256395,0.2959283285632501,0.04807490230691105,9,10,3,258,0.6935545071572857,0.9773859884092104,4.6780605367333,0.9277867941285578,COMPLETE
51,0.9152995532103123,2025-06-15 11:07:46.379121,2025-06-15 11:08:19.941866,0 days 00:00:33.562745,0.7579425021145771,0.17306229862660918,0.04276481099673868,9,10,3,258,0.7125820281596007,0.9929149170753676,11.242490735101473,0.9221166941264641,COMPLETE
52,0.9211043799434468,2025-06-15 11:07:46.513465,2025-06-15 11:08:21.050154,0 days 00:00:34.536689,0.7525954283533813,0.010766250449642037,0.04230449599091652,9,10,3,264,0.7139058184325151,0.9681610722980385,3.2864108636309495,0.9164386880199924,COMPLETE
53,0.9204999995844932,2025-06-15 11:07:57.742994,2025-06-15 11:08:28.641429,0 days 00:00:30.898435,0.8584236615749123,0.050540270617202614,0.04407389462648135,9,10,3,261,0.6988042878043222,0.9803275731081056,3.1577673819516385,0.9448512109562412,COMPLETE
54,0.914917110840866,2025-06-15 11:08:04.389132,2025-06-15 11:08:25.209596,0 days 00:00:20.820464,0.786110575948562,0.012517908514315841,0.08186929892802072,9,10,4,184,0.4402550028490299,0.9941086102965425,12.112548709938984,0.918747249868025,COMPLETE
55,0.916928112178111,2025-06-15 11:08:05.659575,2025-06-15 11:08:34.234244,0 days 00:00:28.574669,0.7872426309065492,0.018839146853165747,0.08027951376311077,9,9,4,259,0.8064275130950371,0.9820738281528715,11.265446066259202,0.9235870067566357,COMPLETE
56,0.9170225338610873,2025-06-15 11:08:06.410006,2025-06-15 11:08:34.703881,0 days 00:00:28.293875,0.8523815738391728,0.0012146702196844765,0.08801928219791058,10,9,4,263,0.8260411847953134,0.999724902469958,11.76843466998627,0.9151795418214079,COMPLETE
57,0.9151619736402818,2025-06-15 11:08:07.655509,2025-06-15 11:08:27.533090,0 days 00:00:19.877581,0.8656642325240281,0.04717482764552868,0.08146819714605974,4,9,4,179,0.4326634681232674,0.45812695023968864,12.540160255872287,0.9130121015105565,COMPLETE
58,0.91928827822694,2025-06-15 11:08:08.009240,2025-06-15 11:08:36.483889,0 days 00:00:28.474649,0.8627236564554588,0.07119845948429274,0.08277792271405152,10,9,4,262,0.7892172218322419,0.9992334344065927,1.7870624112423794,0.9625039558088585,COMPLETE
59,0.9138689703471051,2025-06-15 11:08:19.944868,2025-06-15 11:08:36.140994,0 days 00:00:16.196126,0.7938384890917902,1.3849375354447515,0.0757926829218558,10,9,4,264,0.7909249211755879,0.9368771070862237,1.6886926168354193,0.9542615871454598,COMPLETE
60,0.9136422273064644,2025-06-15 11:08:21.053154,2025-06-15 11:08:43.287378,0 days 00:00:22.234224,0.7892691715233341,0.039423155178711686,0.027715153638505744,8,10,3,172,0.8256354045888681,0.9429353687730989,1.4364548680704168,0.9979824901611555,COMPLETE
61,0.9197041686539744,2025-06-15 11:08:25.212598,2025-06-15 11:08:59.809233,0 days 00:00:34.596635,0.7952961576096903,0.030365194439056054,0.19260812911268171,8,10,3,290,0.7943616104422604,0.9379597711976393,1.815901129107587,0.9674646783367324,COMPLETE
62,0.9033334678234427,2025-06-15 11:08:27.536091,2025-06-15 11:08:35.358103,0 days 00:00:07.822012,0.7956548975877099,4.901596239880405,0.19831359282376226,8,3,3,146,0.8296285439756539,0.9442095857220365,1.7389020725974764,0.9546184960997791,COMPLETE
63,0.9119112361415576,2025-06-15 11:08:28.644841,2025-06-15 11:08:57.988758,0 days 00:00:29.343917,0.862986301023639,0.8679605930039893,0.030530104771247055,8,10,3,234,0.8557705824778733,0.9379094370831944,1.0646622338787832,0.9658123979942372,COMPLETE
